brand_name,account_name,platform_name,title,caption_text,hashtags,like_count,view_count,comment_count,upload_date,content_url
CU,keypoint_456,인스타그램,,"CU 건강기능식품 90% 할인  CU 건기식 90% 할인?! 🤩 💊건기식 17종 5개 이상 토스페이 머니/계좌 결제시 적용  🗓️ 기간 ~ 5월 31일 → 최대 80% 할인 5/5, 5/8, 5/15 → 최대 90% 할인  🎁 포켓 CU QR 스캔 > 토스페이 머니/계좌 결제  ⚠️ 일 1회, 1회 최대 20,000원 한도 💌 대상 상품 및 재고 조회는 ‘씨유’ 댓글 남기기 🔔팔로우하시고 다양한 할인정보 빠르게 받아보세요!"".",,32.0,,53.0,2026-05-04 22:00:22,https://www.instagram.com/p/DX7shUkk8iv/
CU,namdi.official,인스타그램,,"동아제약이 편의점에서 간편하게 건강을 챙길 수 있는 CU 전용 건강기능식품 브랜드 ‘셀파렉스 바로’를 출시했습니다.  최근 1인 가구 증가와 셀프 건강관리에 익숙한 MZ세대의 소비확산으로, 즉시성·즉효성·휴대 편의성을 갖춘 소포장 건강기능식품 수요가 커지고 있는데요.  이에 동아제약은 CU와 협업해 이러한 니즈를 반영한 새로운 건강관리 솔루션 ‘셀파렉스 바로’를 선보였다고 전했습니다.  ‘셀파렉스 바로’는 ▲항산화(비타민C1000) ▲근육건강 및 에너지 이용(마그네슘) ▲스트레스로 인한 긴장감 완화(테아닌) ▲눈 건강(루테인) ▲혈행 및 중성지질 개선, 건조한 눈 건조 완화(알티지오메가3) ▲관절 및 연골 건강(MSM2000) ▲뼈와 치아 건강, 골다공증 감소 도움(칼슘마그네슘비타민D) ▲간 건강(밀크씨슬) 등 특정 기능별 건강 관리를 위한 제품 총 8종으로 구성됐습니다.  전 제품은 5~10일치 소포장 단위로 휴대와 보관이 간편합니다. 특히 각 제품별 기능성을 직관적으로 표현한 패키지 디자인과 감각적인 컬러를 적용해 소비자들이 편의점에서 쉽게 제품을 선택할 수 있도록 했습니다.  📷 동아제약  자세한 내용은 홈페이지 기사를 통해 확인하세요👀"".",,,,,2025-09-26 02:16:00,https://www.instagram.com/p/DPDGBlREkRY/
CU,cu_official,인스타그램,,"ㅤ #EVENT 다 떨어진 건강기능식품을 발견한 아침! 하루 거르는 게 찝찝한 분?  공복에는 먹기 싫은 건강기능식품! 쉽게 언제든지 섭취하고 싶은 분?  전국 6천개 CU에서 바로 고민 해결 가능합니다 :)   믿을 수 있는 동아제약이 직접 개발한 필수 건강기능식품 8종 런칭  1. 셀파렉스 비타민C #끓어올려 2. 셀파렉스 마그네슘 #에너지 3. 셀파렉스 테아닌 #괜찮아  4. 셀파렉스 루테인지아잔틴 #눈호강 5. 셀파렉스 rTG오메가3 #혈행의선순환 6. 셀파렉스 밀크씨슬 #지금이순간 7. 셀파렉스 MSM 2000 #관절해 8. 셀파렉스 칼슘마그네슘비타민D #약골탈퇴  전 제품 5,000원에 상시 1+1 행사  ㄴ 개당 2,500원!! (교차구매 가능)  9~10월 매주 월요일 ""건강기능식품데이"" 단 하루! 6개 구매 시 67% 파격할인  ㄴ 9,900원 ▶ 개당 1,650원!  💬 댓글 EVENT 💬 지금 나에게 가장 필요한 건강기능식품이 무엇인지 댓글로 남겨주세요! 추첨을 통해 선물을 드립니다!  ✅ CU 공식 인스타그램 팔로우 필수! ✅ 기간: 9/23(화)~9/30(화) ✅ 당첨자 발표: 10/10(금) *당첨자 개별 DM 발표 ✅ 경품: CU 모바일상품권 3천원권 (10명)  ※ 본 이벤트는 2건의 게시물에서 동시에 진행 됩니다.  #동아제약 #셀파렉스 #건강기능식품 #건기식 #CU건기식 #CU #씨유 #당신의_좋은친구_CU  *판매원 ㈜동아제약 *제조원 : ㈜서흥, ㈜코스맥스바이오"".","#EVENT, #끓어올려, #에너지, #괜찮아, #눈호강, #혈행의선순환, #지금이순간, #관절해, #약골탈퇴, #동아제약, #셀파렉스, #건강기능식품, #건기식, #CU건기식, #CU, #씨유, #당신의_좋은친구_CU",296.0,,252.0,2025-09-23 04:56:57,https://www.instagram.com/p/DO7V9_nDdQl/
CU,labit.official,인스타그램,,"다이소는 실패했는데, 이번엔 CU(@cu_official)가 건기식 시장에 다시 도전장을 냈다고?! 🧐  전국 6,000여 특화점에서 건강기능식품을 선보인다는 CU의 당당한 발표가 이달 1일에 발표되었습니다. 다이소 때와는 다르게 일부 매장만 ‘특화점’으로 지정해서 인허가까지 꼼꼼히 챙긴 점이 차별화 포인트!  제약사와의 협업으로 CU에서만 만날 수 있는 단독 제품들도 곧 등장 예정이라는 소식까지! 앞으로의 반응이 궁금해지는데요, 편의점 시장 1위의 새로운 도전. 지금 카드뉴스에서 만나보세요 💚  @labit.official ————————— #마케팅매거진 #마케팅트렌드 #트렌드매거진 #트렌드레터 #마케팅인사이트 #건기식 #건강기능식품 #CU"".","#마케팅매거진, #마케팅트렌드, #트렌드매거진, #트렌드레터, #마케팅인사이트, #건기식, #건강기능식품, #CU",9.0,,1.0,2025-07-03 13:35:25,https://www.instagram.com/p/DLpcNaPzs7P/
CU,humorzzip,인스타그램,,"와... CU가 진짜 물가 때려잡으려고 작정했나 봐요! 🥳✨ 요즘 비싸서 못 사 먹던 건강기능식품 17종이 무려 90% 할인 중!  이거 실화인가 싶어서 계산해봤더니, 5개 이상 사면 개당 가격이 편의점 껌값 수준... ㄷㄷ 비타민부터 유산균, 홍삼까지 종류도 다양해서 부모님 선물이나 내 건강 챙기기에 딱이에요!  ✅ 이벤트 요약 (필독!)  내용: 건강기능식품 대상 품목 17종 90% 할인 조건: 대상 상품 5개 이상 구매 시 적용! (교차 선택 가능 여부 확인) 품목: 멀티비타민, 루테인, 밀크씨슬, 유산균 등 인기 17종  기간: 2026년 5월 한정 (재고 소진 시 종료)  자세한 링크 정보는 @humorzzip 팔로우후 댓글에 <건기식> 남기면 링크 쏴드림🚀  편의점마다 재고가 다를 수 있으니 '포켓CU' 앱으로 재고 조회하고 가세요! 품절 대란 예상되니까 보이면 일단 바구니에 담는 게 승리자입니다. 🏃‍♂️💨  ""이거 알려주면 엄마한테 칭찬받음 ㅋㅋㅋ @친구태그해서 같이 쓸어오기!"" 👇  #CU #CU신상 #CU편의점 #편의점꿀팁 #건강기능식품"".","#CU, #CU신상, #CU편의점, #편의점꿀팁, #건강기능식품",12.0,,1.0,2026-05-06 08:55:31,https://www.instagram.com/p/DX_cRAjGKy5/
CU,cu_official,인스타그램,,"ㅤ #EVENT  에너지 충전이 필요할 땐 ? 요즘 떠오르는 HOT! 성분 마그네슘!  📌 하루 한번, 한 번에 한 알로 가볍게!  📌 마그네슘 일일권장섭취량 100% 섭취로 에너지 충전과 근육건강을 한번에!  지금 전국 약 6,000개 CU에서 동아제약 건강기능식품을 만나보세요! ※ 포켓CU APP에서 판매점포 확인 및 재고 조회 필수!  ♥️ 오직 CU에서만 ♥️ 동아제약)셀파렉스마그네슘 10정 5,000원 ✔️ 상시 1+1 행사진행(개당 2,500원) ✔️ 동아제약 8종 상품 간 교차구매 가능   ⭐특별할인 행사⭐ ① 11/1(일)~16(토) 16일간! ② 6개 구매시 67% 할인→개당 825원  💬 댓글 EVENT 💬 에너지 충전 필요한 친구들 모여! 근육건강이 필요한 친구들에게 소문내주세요. 추첨을 통해 선물을 드립니다.  ✅ CU 공식 인스타그램 팔로우 필수! ✅ 이벤트 기간: 11/07(금)~11/14(금) ✅ 당첨자 발표: 11/21(금) *당첨자 개별 DM 발표 ✅ 경품: CU 모바일상품권 5천원권 (5명)  -판매원 : (주)동아제약 -제조원 : (주)서흥  #동아제약 #셀파렉스 #건강기능식품 #CU #씨유 #CU편의점 #당신의_좋은친구_CU"".","#EVENT, #동아제약, #셀파렉스, #건강기능식품, #CU, #씨유, #CU편의점, #당신의_좋은친구_CU",313.0,,272.0,2025-11-07 02:00:50,https://www.instagram.com/p/DQvNrQtjTSb/
CU,naheul3450,인스타그램,,"#협찬  #cu  푸룬 클렌즈샷 20ml (3,900원)  푸룬 클렌즈샷 제품을 가지고 왔어요! 푸룬주스 사실 장건강이나 변비쪽으로 문제가 있으신 분, 관심 있으신 분들에게 있어서는 이미 유명하죠! 저 역시 그 위상은 누누이 들었을 정도인데요! 괜히 먹기 전에 겁부터 잔뜩 먹었던 것 같아요🥲   💜구성 제품은 12개의 클렌즈샷 음료, 음료당 정제된 알약 2정으로 구성되어 있어요 음료 뚜껑이 알약통 형태로 디자인되어 있어 약의 보관이 쉽고 또 변질되는 걸 막을 수 있도록 되어 있다는 게 특징적이에요   💜맛 푸룬 클렌즈샷의 경우, 동봉된 알약을 함께 들어있는 주스 혹은 물과 함께 삼켜서 복용할 수 있어요   사실 약의 형태라서 쓴 건 아닐까하는 생각이 있었는데 한 번 복용하고 나니 그런 생각은 아예 사라지더라구요! 처음 먹었을 땐 쓴맛이 거의 없는 달콤한 홍이장군 맛...?으로 느꼈던 것 같아요 달콤한 석류 맛이 덮어주면서 저처럼 입맛이 까탈스러운 사람도 부담없이 먹기 좋은 것 같아요☺️   💜기존 푸룬주스와는? 기존의 푸룬주스와는 달리 1회 복용 분량을 나눠놓은 것이 특징인데요! 단순 페트병에 들어 있는 주스의 경우, 사실 한 번 마실 때 얼마나 마셔야할 지 굉장히 애매한 감이 있는데 이번 제품은 그런 혼동을 줄였던 게 장점인 것 같아요!   🌱100년 SUNSWEET 전통의 푸룬농축액 사용 🌱소비톨 액상으로 강력하지만 부드러운 비움 🌱푸룬석류맛으로 맛있고 간편하게 흡수 🌱오직 CU에서만 판매!   #푸룬 #푸른클렌즈샷 #푸룬 #CU건강식품 #푸룬음료 #장건강 #변비 #CU덕후 #음료 #추천 #건강 #건강기능식품 #건강기능식품추천 #리뷰 #대외활동맞팔"".","#협찬, #cu, #푸룬, #푸른클렌즈샷, #푸룬, #CU건강식품, #푸룬음료, #장건강, #변비, #CU덕후, #음료, #추천, #건강, #건강기능식품, #건강기능식품추천, #리뷰, #대외활동맞팔",18.0,,0.0,2024-08-28 13:35:08,https://www.instagram.com/p/C_Nyi-cyTi9/
CU,jikjangnaeil,인스타그램,,"#댓글event 회사에서 제 추구미요? 그저 제 눈과 뇌와 간이 건강하길 바랄 뿐입니다 🙏  더도 말고 덜도 말고 건강이 최고인 직장인들을 위한 편의점 건강기능식품의 등장! 💊  전국 CU에서 24시간 건강기능식품 1+1이니까 나에게 필요한 건강을 간편하게 챙기세요~ !  ✅ 눈건강 ✅ 간건강 ✅ 두뇌기억력 ✅ 장건강 ✅ 종합건강 ✅ 다이어트  ✅ 이너케어 ✅ 혈행건강 ✅ 뼈건강  ※  종근당 9종 상품 간, 교차 구매 가능 ※  개당 5,000원에 상시 1+1 ! 개당 2,500원 꼴이에요!  ______________________________________________ #댓글event 댓글로 “지금 나에게 가장 필요한  건기식”을 남기면 추첨을 통해 CU상품권을 드려요!  ✔️ 이벤트 기간: 9/11(목) ~ 9/18(목) ✔️ 당첨자 발표: 9/25(목) @cu_official 계정으로 개별 DM을 드릴 예정이니 메시지함을 확인해주세요 *  ✔️ 경품 * CU 모바일 상품권 3만원 (3명) * CU 모바일 상품권 1만원 (7명)  🔍 건강기능식품 판매 점포 및 재고 조회는 포켓CU APP에서 확인하세요!  - 판매원 : ㈜종근당 - 제조원 : 코스맥스엔비티  #광고 #CU #씨유 #헬CUP #헬씨업 #건강기능식품 #건기식 #CU건기식"".","#댓글event, #댓글event, #광고, #CU, #씨유, #헬CUP, #헬씨업, #건강기능식품, #건기식, #CU건기식",1113.0,,532.0,2025-09-11 09:34:09,https://www.instagram.com/p/DOdMd-YDcdD/
CU,donga_official,인스타그램,,"#EVENT 🎊동아동 NEW 주민 입성🎊 CU편의점에서 바로 만나는 데일리 비타민C  바쁜 일상에 빠질 수 없는 리프레시템 비타민C #즉시비타민 #셀파렉스_비타민C_1000mg 로 하루를 상큼하게 리프레시! ✨  #셀파렉스_바로 비타민C, 밀크씨슬 등 총 8종 라인업을 CU편의점에서 확인하세요🔍  🛒 셀파렉스 구매는 오직 CU에서만! 포켓CU 앱에서도 구매 가능해요 🙌  -  #댓글이벤트  🌟너는 나의 비타민🌟  힘들 때, 지칠 때 나를 리프레시 시켜주는  나만의 비타민 같은 사람이 있나요?💛  댓글로  @나의 비타민을  소환해주시면  셀파렉스 비타민을 드립니다🎁  ✅참여 방법 ① 본 계정(@donga_official) 팔로우 후 ② 댓글로 나만의 비타민 소환하기 @친구야  나의 비타민이 되어줘서 고마워🫰  📆이벤트 일정 : 9/26(금) ~ 10/2(목) 🎁경품 : 셀파렉스 비타민C 1000mg (10명) ✔발표 : 10/15(수)  DM 발표 및 댓글 공지  본 광고는 건강기능식품 광고입니다.  -제조원 : 코스맥스바이오(주) -판매원 : 동아제약㈜"".","#EVENT, #즉시비타민, #셀파렉스_비타민C_1000mg, #셀파렉스_바로, #댓글이벤트",151.0,,183.0,2025-09-26 08:04:25,https://www.instagram.com/p/DPDt5iXEWWd/
CU,cu_official,인스타그램,,"ㅤ 오늘도 내일도 건강하게! 간편한 건강 습관, CU에서 시작하자✨  가장 가까운 건강 플랫폼! 전국 약 6천개 CU에서 건강기능식품을 더 손쉽게 만나보세요💜  🔍 헬C UP! 건강기능식품 판매 점포 및 재고 조회는? 포켓CU APP에서!  #헬CUP #헬씨업 #건강기능식품 #건기식 #CU건기식 #CU #씨유 #당신의_좋은친구_CU   ※ 판매원 : (주)종근당, 동화약품  ※ 제조원 : 코스맥스엔비티, 네추럴웨이, 메디오젠, 코스맥스바이오"".","#헬CUP, #헬씨업, #건강기능식품, #건기식, #CU건기식, #CU, #씨유, #당신의_좋은친구_CU",126.0,,0.0,2025-07-28 10:37:05,https://www.instagram.com/p/DMpe-nxRWtL/
