comment_text,content_id,형태소,감정
티멤버십 찍고 CUqr 찍으면 삐삐 소리나는데 그냥 넘기시면 할인들어 갑니다. 근데 안되는거는 저도 모르겠습니다.,1,"['멤버십', '소리', '넘기', '할인', '모르']",긍정
얼마나 남겨먹으면 90퍼할인을해도 다이소 건기가격이랑 별차이안나네,1,"['남기', '할인', '다이소', '가격', '차이']",긍정
그냥 오줌값만 높이는거임 돈낭비,1,"['오줌', '높이', '낭비']",중립
버스티고 조금나가서 종근당 12박스 구매했습니다 감사합니다 ❤,1,"['버스', '나가', '종근당', '박스', '구매', '감사']",중립
T멤버쉽 쓰고 포켓QR인건지 이거 중복이 안되는데 순서가 어찌되는지 ㅠㅠ,1,"['멤버', '포켓', '이거', '중복', '순서']",중립
건식이 생각보다 싸기 때문에 인터넷가 대비 1/3 가격정도 일듯,1,"['생각', '때문', '인터넷', '대비', '가격', '정도']",중립
5일 부터는 skt는 할인 막힌듯 해요. 1+1이라서 안되는것 같음.,1,"['할인', '막히']",긍정
이거 skt - CU qr - 토스페이 순으로 하는데 CU QR에서 할인 안들어가네요 이럼막힌거 맞죠?,1,"['이거', '토스', '페이', '할인', '들어가', '이러', '막히']",긍정
지금 1플1 행사하는데 그럼 10개 집어야 하나요?😊,1,"['플1', '행사']",중립
포켓씨유 qr찍었는데 안되는데,1,['포켓'],중립
우즈패스돼요?,1,"['우즈', '패스']",중립
오늘도 되나요?,1,['오늘'],중립
4개 집었는데 1+1이라 만원 찍히고 CU QR 찍고 토스페이 QR 결제했는데 잔액 부족 떴습니다 (토스 계좌 잔액 5천원) 왜 이런걸까요?,1,"['찍히', '토스', '페이', '결제', '잔액', '부족', '토스', '계좌', '잔액']",부정
이거 페이스페이로 결제도 가능한가요?,1,"['이거', '페이스', '페이', '결제', '가능']",중립
T멤버십 하고 cu qr 적용하면 삐삐소리나고 중복안되던데 어떻게 하면 중복적용이 가능한가요?,1,"['멤버십', '적용', '소리', '중복', '어떻', '중복', '적용', '가능']",중립
,2,[],중립
,3,[],중립
,4,[],중립
약국을 가지 않고 씨유 편의점에서 바로 픽업해서 종근당 제품을 먹을 수 있어서 너무 좋은 것 같아요!👍 리쮸님 덕분에 좋은 정보 알아가요! 오늘도 영상 잘 봤어요⭐️,5,"['약국', '씨유', '편의점', '픽업', '종근당', '제품', '리쮸', '덕분', '정보', '오늘', '영상']",중립
오 좋네요!👍 할인이벤트 지나서 아쉽..😢,5,"['할인', '이벤트', '지나', '아쉽']",긍정
종근당 제품들 다 너무 좋은데 편의점에서도 쉽게 만날 수 있는게 되게 좋은거 같아요!,5,"['종근당', '제품', '편의점', '만나']",중립
,6,[],중립
,7,[],중립
,8,[],중립
