comment_text,content_id,형태소,형태소기반_감정,맥락기반_감정
버스티고 조금나가서 종근당 12박스 구매했습니다 감사합니다 ❤,1,"['버스', '나가', '종근당', '박스', '구매', '감사']",긍정,긍정
약국을 가지 않고 씨유 편의점에서 바로 픽업해서 종근당 제품을 먹을 수 있어서 너무 좋은 것 같아요!👍 리쮸님 덕분에 좋은 정보 알아가요! 오늘도 영상 잘 봤어요⭐️,5,"['약국', '씨유', '편의점', '픽업', '종근당', '제품', '리쮸', '덕분', '정보', '오늘', '영상']",중립,긍정
오 좋네요!👍 할인이벤트 지나서 아쉽..😢,5,"['할인', '이벤트', '지나', '아쉽']",중립,긍정
종근당 제품들 다 너무 좋은데 편의점에서도 쉽게 만날 수 있는게 되게 좋은거 같아요!,5,"['종근당', '제품', '편의점', '만나']",긍정,긍정
포켓 CU 어플로 구매하면 가까운 매장에서 픽업 가능해 편한 것 같아요,10,"['포켓', '어플', '구매', '가깝', '매장', '픽업', '가능', '편하']",긍정,긍정
"🤩종근당과 CU가 콜라보했어요! https://www.pocketcu.co.kr/deepLink/checkAppInstall?viewType=1&viewUrl=/special/detail/CDK0VSBL07059 84년 전통의 종근당 건강기능식품 9종을 이제 CU에서 만나보실 수 있답니다. 멀티비타민미네랄로 기본 영양 챙기고, 깨끗하고 흡수 잘 되는! 초임계 알티지 오메가3 밀크씨슬은 간 건강, 루테인+비타민A는 눈 건강에 좋고요 프로바이오틱스는 이너케어 & 장 건강을 도와주고, 두뇌기억력엔 징코가 집중력과 기억력에 딱! 칼마디케이는 관절 케어, 혈당컷 다이어트는 혈당 조절과 다이어트에 도움을 줍니다. 하루 한 알, 간편하게 챙기기 딱 좋아요! 더 빠르게 갖고 싶다면 포켓CU 앱에서 주문 후 가까운 CU에서 바로 픽업하세요! 집 앞 CU에서 기다림 없이 바로 받아가니까 너무 편해요. 게다가 지금 런칭 기념 1+1 이벤트 중! 5천 원에 2박스, 20일치 건강 챙기기 찬스! 종근당 건강기능식품, CU에서 착한 가격에 만나보세요!",15,"['종근당', '콜라', '전통', '종근당', '건강', '기능', '식품', '만나', '멀티', '비타민', '미네랄', '기본', '영양', '챙기', '흡수', '초임', '알티', '오메가', '밀크', '건강', '루테', '비타민', '건강', '프로바이오틱스', '이너', '케어', '건강', '도와주', '두뇌', '기억력', '집중력', '기억력', '마디', '케이', '관절', '케어', '혈당', '다이어트', '혈당', '조절', '다이어트', '도움', '하루', '챙기', '빠르', '포켓', '주문', '가깝', '픽업', '기다리', '편하', '런칭', '기념', '이벤트', '박스', '건강', '챙기', '찬스', '종근당', '건강', '기능', '식품', '착하', '가격', '만나']",긍정,긍정
어머나~~반가운 소식이네요,19,"['반갑', '소식']",긍정,긍정
"이제 좀 신경써서 챙겨 먹어야 하는 시기인데, 저도 구입해봐야겠어요",19,"['신경', '챙기', '시기', '구입']",긍정,긍정
제품 다양해서 좋네요,19,"['제품', '다양']",중립,긍정
cu로 당장 달려가야겠어요 ㅎ,19,['달려가'],중립,긍정
역시 종근당 최고네요~!!,19,"['종근당', '최고']",긍정,긍정
9900원 가격 대박이네요 저도 고고씽,19,"['가격', '고고씽']",중립,긍정
이정도만 챙겨 먹어도 되겠군오ㅡ,19,"['정도', '챙기']",긍정,긍정
오늘도 감사합나다,22,['감사'],긍정,긍정
더위에 건강 챙기면서 일하세요! 오늘도 좋은 정보 감사합니다 :),22,"['더위', '건강', '챙기', '오늘', '정보', '감사']",긍정,긍정
몸관리 잘하세요 감사합니다^^,22,"['관리', '감사']",긍정,긍정
감사합니다😊,22,['감사'],긍정,긍정
감사합니다:),22,['감사'],긍정,긍정
진짜 최고입니다 매번 ㅎㅎㅎ 매 주 월요일 방송 하고 업무 시작하시는건가요?,22,"['최고', '월요일', '방송', '업무', '시작']",긍정,긍정
감사합니다 😊,22,['감사'],긍정,긍정
"💚 동아제약에서 출시한 CU 전용 건강기능식품 브랜드 ‘셀파렉스 바로’ 💊 가격은 단 5,000원✨ 항산화💪 비타민C1000부터 근육·에너지⚡ 마그네슘, 스트레스 완화🌿 테아닌, 눈 건강👀 루테인, 혈행·건조한 눈 개선💧 알티지오메가3, 관절·연골 건강🦵 MSM2000, 뼈·치아 건강🦷 칼슘마그네슘비타민D, 간 건강💚 밀크씨슬까지! 기능별로 골라먹는 8종 건강 케어라인업! 패키지도 예뻐서 보는 순간 시선 👀 확! 가까운 CU에서 만나보세요💚",23,"['동아제약', '출시', '전용', '건강', '기능', '식품', '브랜드', '셀파렉스', '가격', '항산화', '비타민', '근육', '에너지', '마그네슘', '스트레스', '완화', '아니', '건강', '루테', '건조', '개선', '오메가', '관절', '연골', '건강', '치아', '건강', '칼슘', '마그네슘', '비타민', '건강', '밀크', '기능', '고르', '건강', '케어', '라인', '패키지', '예쁘', '순간', '시선', '가깝', '만나']",긍정,긍정
정가거부님 첫날부터 좋은 정보 정리해주신다고 고생하셨네요! 항상 감사해요 🥰,24,"['정가', '거부', '첫날', '정보', '정리', '고생', '감사']",긍정,긍정
cu 도시락 할인 3-4월동안 행복했습니다 이제 안하겠네요 + 토스 페이스페이 한정 cu 간편식 50프로할인이 생겼네요 영상에없는데 참고,24,"['도시락', '할인', '동안', '행복', '토스', '페이스', '페이', '한정', '편식', '프로', '할인', '생기', '영상']",긍정,긍정
감사합니당정가거부님😅영양제90프로놀라워용😮,24,"['감사', '정가', '거부', '영양제', '프로', '놀랍']",긍정,긍정
0:36 샌드위치&커피 콤보는 굳이 저 카드 아니어도 기본 콤보 할인 천원이 되기 때문에 직전에 나온 샌드위치 카카오페이 할인 40%와 연계하시면 꽤 괜찮은 할인률이 나옵니다. (제가 최근 몇개월간 계속 출근길 아침 챙겨먹은 방법입니다.),24,"['샌드위치', '커피', '콤보', '카드', '아니', '기본', '콤보', '할인', '때문', '직전', '나오', '샌드위치', '카카오페이', '할인', '연계', '괜찮', '할인', '나오', '최근', '개월', '출근길', '아침', '챙기', '방법']",긍정,긍정
4월동안 혜자로운 빵 아주 좋았는데 5월도 하는군요 😊,24,"['동안', '혜자']",긍정,긍정
넹 감사합니당,24,['감사'],긍정,긍정
정가거부 마아아안~세~!^^/,24,"['정가', '거부', '마아아안세']",중립,긍정
감사합니다 계란 혜자빵 좋아요,24,"['감사', '계란', '혜자']",긍정,긍정
카드할인 부탁드리겠습니다 급합니다 ㅜㅜ 항상 잘 보고있습니다,24,"['카드', '할인', '부탁', '드리', '급하']",중립,긍정
계란 15구 25퍼 할인해서 3900원이면 좋네요,24,"['계란', '할인']",중립,긍정
