comment_text,content_id,형태소,형태소기반_감정,맥락기반_감정
얼마나 남겨먹으면 90퍼할인을해도 다이소 건기가격이랑 별차이안나네,1,"['남기', '할인', '다이소', '가격', '차이']",중립,부정
그냥 오줌값만 높이는거임 돈낭비,1,"['오줌', '높이', '낭비']",부정,부정
5일 부터는 skt는 할인 막힌듯 해요. 1+1이라서 안되는것 같음.,1,"['할인', '막히']",부정,부정
이거 skt - CU qr - 토스페이 순으로 하는데 CU QR에서 할인 안들어가네요 이럼막힌거 맞죠?,1,"['이거', '토스', '페이', '할인', '들어가', '이러', '막히']",부정,부정
포켓씨유 qr찍었는데 안되는데,1,['포켓'],중립,부정
4개 집었는데 1+1이라 만원 찍히고 CU QR 찍고 토스페이 QR 결제했는데 잔액 부족 떴습니다 (토스 계좌 잔액 5천원) 왜 이런걸까요?,1,"['찍히', '토스', '페이', '결제', '잔액', '부족', '토스', '계좌', '잔액']",부정,부정
cu는 개박살났내 5월은 gs로갑니다,24,['박살'],중립,부정
Cu야 인간적으로 구독이랑 중복이 안되는할인을 하는건.좀 에바.아니냐..,24,"['인간', '구독', '중복', '할인', '에바', '아니']",중립,부정
저도 skt안되는거 같아서 24개쓸었습니다. 동생이랑 사장님도 몰랐다네요😂😂,24,"['동생', '사장', '모르']",중립,부정
"KT 알뜰폰 CU 제휴 되어있으면 혜택 적용 안되는거 같네요,, 다시 해봐도 안되서 그냥 나왔습니다",24,"['알뜰', '제휴', '혜택', '적용', '해보', '나오']",중립,부정
마그네슘은 사지 마세요 산화마그네슘 들어간 싸구려입니다,24,"['마그네슘', '산화 마그네슘', '들어가', '싸구려']",부정,부정
사료에 천일염 섞어주면 안되나?ㅋㅋ,34,"['사료', '천일염']",중립,부정
1.한 잔만 마셔도 얼굴 뻘개지는 사람은 그냥 술 먹으면 안되는 사람입니다 2.요즘 세상에 억지로 술 맥이는 사람은 조용히 손절하세요 질 나쁜 사람입니다 3.먹으면 (주량)는다는 소리는 진짜 무식한 소리입니다 유전적으로 알콜분해 능력은 정해져있어요,44,"['마시', '얼굴', '사람', '사람', '요즘', '세상', '맥이', '사람', '나쁘', '사람', '주량', '소리', '무식', '소리', '유전', '알콜', '분해', '능력', '정하']",중립,부정
"진짜 꿀팁은 의외로 나 힘들다 못 마실거 같다 하면서 남들 원샷할때 분위기만 따라서 짠하고 몇번 꺾어마셔도 뭐라 안함.핀잔 한두번 듣고 말지,정색하는 놈은 바로 손절 때리고.영업사원이 접대하는 입장이라 어쩔수 없으면 그나마 안주빨보단 중간중간 배터질 만큼 물 많이 마시셈.다음날 기적같이 목이 덜 마르고 입안 덜 텁텁하고 속이 상쾌함. 대학생때 까지 주량 따지고 빈 술병 줄세워놓는게 낭만이고 재밌었지,서른 되니까 친구끼리는 걍 맥주몇병보단 같은 값에 알딸딸하게 위스키나 크맥 둬잔 하는게 좋고 동창회나 모임처럼 부어라마셔라판 되면 처음 말한대로 하면 누구도 뭐라 안함,그 나이먹고 취해 주사 부리거나 부축당하는게 더 꼴값임.",44,"['힘들', '마시', '원샷', '분위기', '따르', '짠하', '마시', '핀잔', '정색', '때리', '영업', '사원', '접대', '입장', '어쩌', '안주', '중간', '중간', '터지', '만큼', '마시', '다음날', '기적', '마르', '대학', '주량', '따지', '술병', '세우', '낭만', '재밌', '서른', '친구', '맥주', '위스키', '동창회', '모임', '마시', '처음', '대로', '누구', '나이', '취하', '주사', '부리', '부축']",부정,부정
비타민을 먹으면 약간 기운없다가도 살짝 기운이 생기는데 5~6병먹어도 안취하는 내 기준에서 몸이 피곤하면 3~4병 먹어도 힘든날 있고 연차쓰고 쉬다가 술먹으러 나가면 5~6병 먹어도 멀쩡함 그냥 피로도 차이지 뭘 먹으면 덜 취하고 더 취하고 다 개소리임 근데 확실한건 숯불이나 이런 고기집같은데서 불 앞에 가까이있어서 더워지다보면 더 빨리취하는거같더라 난 내가 무조건 고기굽기 때문에 불이랑 좀 가까이있는 편이라 느낀거임 담배 안피더라도 애들 나갈때 같이 나가서 찬바람 쐬고 시원한 물 먹다보면 조금은 더 먹을 수 있을꺼임,44,"['비타민', '기운', '기운', '생기', '취하', '기준', '피곤', '힘들', '연차', '나가', '피로도', '차이', '취하', '취하', '개소리', '숯불', '고기', '취하', '고기', '때문', '느끼', '담배', '나가', '나가', '바람', '조금']",부정,부정
다이어트 열심히 하는중인데 겨울이라 길거리에 보이는 호떡 붕어빵 때문에 힘드네요 영차님 영상 보면서 힘내여!,45,"['다이어트', '겨울', '길거리', '보이', '호떡', '붕어빵', '때문', '힘들', '영상', '힘내']",부정,부정
휴 자주 사먹는 멀티비타민 미네랄 이번가 살까말까 고민되는 글루타치온은 비추제품 해당안되서 다행이네요ㅎㅎ,52,"['멀티', '비타민', '미네랄', '고민', '제품', '해당', '다행']",중립,부정
종근당 혈당컷 3주정도먹고 앞이 까매지면서 휘청거려요 심하게😭▶️ 말이어눌해지고 앞이 뿌옇고 흐리고 내내 까매지면서 휘청거려요ㅠ 3주넘게지속중인데 증상은 부정맥증상이랑똑같은데 부정맥없는데ㅜㅜ 저왜이러는지 어떤검사를해야하는지 답주실수잇을까요😭😭😭고객센터전화해봣는데 즉시중단하라고하더라구요ㅠ 근데 다이어트약이아닌 건강기능식품이라 소량들어서 이런부작용보고는 없엇다고하셧어요ㅠ,52,"['종근당', '혈당', '정도', '까맣', '휘청거리', '심하', '뿌옇', '흐리', '까맣', '휘청거리', '지속', '증상', '부정맥', '증상', '똑같', '부정맥', '이러', '검사', '고객', '센터', '전화', '중단', '다이어트', '아니', '건강', '기능', '식품', '소량', '부작용', '보고']",부정,부정
약사님 혹시 영양제 많은 종류 먹으면 간이 안좋아질 수 있나요?,52,"['약사', '영양제', '종류']",중립,부정
비추천제품만 하나 사버렸다~!~!~ ㅠ 이거 보고 살걸 너무 유용하네용 혈당제품이랑 마그네슘 사봐야지.. 혹시 추천템 세 개 한 번에 같이 먹어도 되나요??,52,"['추천', '제품', '하나', '버리', '이거', '유용', '제품', '마그네슘', '추천']",긍정,부정
"오메가3는 요즘 rTG 형태 아닌 제품은 없습니다. 산패문제가 심각해서 저온압착과 보관이 중요하고 중금속,환경호르몬,산패 등등 13가지 항목의 IFOS 국제기관의 검증 받은 제품이 좋은데 생산자가 자기돈을 들여서 검증 받아야 하는데 대부분 안합니다. 만들때 원료와 생산 공법에 따라 가격차가 많이 납니다. 그리고 오메가3의 주요 기능은 만성염증과 중성지방 개선입니다.안구건조증에 별로 효과 없습니다.",53,"['오메가', '요즘', '형태', '아니', '제품', '산패', '문제', '저온', '압착', '보관', '중요', '중금속', '환경', '호르몬', '산패', '가지', '항목', '국제기관', '검증', '제품', '생산자', '자기', '들이', '검증', '부분', '만들', '원료', '생산', '공법', '따르', '가격', '오메가', '주요', '기능', '만성', '염증', '중성', '지방', '개선', '안구', '건조증', '효과']",긍정,부정
보통 저런 영양제 수만원은 줘야 먹습니다 저정도 가격이면 말도 안되게 싼거 맞습니다,53,"['영양제', '정도', '가격']",중립,부정
다이소에 살만한것 별로없다.,57,['다이소'],중립,부정
