comment_text,content_id,형태소,형태소기반_감정,맥락기반_감정
티멤버십 찍고 CUqr 찍으면 삐삐 소리나는데 그냥 넘기시면 할인들어 갑니다. 근데 안되는거는 저도 모르겠습니다.,1,"['멤버십', '소리', '넘기', '할인', '모르']",중립,중립
T멤버쉽 쓰고 포켓QR인건지 이거 중복이 안되는데 순서가 어찌되는지 ㅠㅠ,1,"['멤버', '포켓', '이거', '중복', '순서']",중립,중립
건식이 생각보다 싸기 때문에 인터넷가 대비 1/3 가격정도 일듯,1,"['생각', '때문', '인터넷', '대비', '가격', '정도']",중립,중립
지금 1플1 행사하는데 그럼 10개 집어야 하나요?😊,1,"['플1', '행사']",중립,중립
우즈패스돼요?,1,"['우즈', '패스']",중립,중립
오늘도 되나요?,1,['오늘'],중립,중립
이거 페이스페이로 결제도 가능한가요?,1,"['이거', '페이스', '페이', '결제', '가능']",중립,중립
T멤버십 하고 cu qr 적용하면 삐삐소리나고 중복안되던데 어떻게 하면 중복적용이 가능한가요?,1,"['멤버십', '적용', '소리', '중복', '어떻', '중복', '적용', '가능']",중립,중립
,2,[],중립,중립
,3,[],중립,중립
,4,[],중립,중립
,6,[],중립,중립
,7,[],중립,중립
,8,[],중립,중립
,9,[],중립,중립
,11,[],중립,중립
,12,[],중립,중립
,13,[],중립,중립
,14,[],중립,중립
,16,[],중립,중립
,17,[],중립,중립
,18,[],중립,중립
역시 건강은 종근당이네요,19,"['건강', '종근당']",중립,중립
어머 저도 씨유 가봐야겠어요,19,['씨유'],중립,중립
엇 cu 메모...!!,19,['메모'],중립,중립
건강기능식품 다양해요,19,"['건강', '기능', '식품']",중립,중립
,20,[],중립,중립
,21,[],중립,중립
퇴근길에 듣구 갑니다. 찜통더위에 건강도 잘챙기세요,22,"['퇴근길', '찜통', '더위', '건강', '챙기']",긍정,중립
아프지마시고~ 더운날씨건강조심하세요!!,22,"['아프', '날씨', '건강', '조심']",부정,중립
건기식없으면 발주해달라고 하시는게 빨라요 😂,24,"['건기', '발주', '빠르']",중립,중립
13개 가져왔습니다 점주님이 정말 안팔리는건데 드뎌 나간다고하더군요,24,"['가지', '점주', '팔리', '나가']",중립,중립
요즘 편의점 할인혜택 받으려면 날짜 상품 QR코드 알아야해서 빡시네요ㅎㅎ 이전에 GS25 GSPay 결제시 1+1 받던 브레디스크 롤케익이 개인적으로 젤 좋았어요ㅎㅎ,24,"['요즘', '편의점', '할인', '혜택', '날짜', '상품', '코드', '이전', '결제', '브레', '디스크', '케익', '개인']",중립,중립
티멤버십 적용 못해서 12개에 6천원에 샀네요 ㅠ,24,"['멤버십', '적용']",중립,중립
